customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
ri22468,arizona,,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,269.0
fz30935,oregon,,College,606611,32627,76,0,Personal Auto,Two-Door Car,380.0
ug93476,california,,College,800230,0,107,0,Personal Auto,SUV,513.0
ab96670,california,,College,239391,0,70,0,Personal Auto,Four-Door Car,425.0
xk64261,oregon,,Bachelor,476281,65795,62,1,Corporate Auto,Two-Door Car,49.0
ev68375,california,,College,433038,60475,107,0,Personal Auto,Four-Door Car,513.0
un51653,california,,High School or Below,940272,0,130,0,Personal Auto,SUV,936.0
to96662,oregon,,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142.0
mr52087,california,,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45.0
de75225,oregon,,High School or Below,871756,0,117,1,Personal Auto,SUV,561.0
ep80820,california,,Bachelor,592874,40531,74,0,Personal Auto,Two-Door Car,30.0
gu99037,oregon,,College,245297,79898,62,1,Corporate Auto,Four-Door Car,271.0
wi57118,california,,College,670157,56398,85,0,Personal Auto,Four-Door Car,408.0
gp39118,washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46.0
mq14219,arizona,,College,849269,27804,109,0,Personal Auto,SUV,784.0
kn20603,oregon,,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,316.0
sg20925,washington,F,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48.0
ji70886,california,,High School or Below,729006,0,102,1,Corporate Auto,SUV,489.0
vf72557,oregon,,High School or Below,477294,20993,133,0,Personal Auto,SUV,638.0
ox28638,arizona,,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,465.0
sk55033,california,,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368.0
oo88645,california,,College,310392,74665,78,2,Corporate Auto,Four-Door Car,236.0
fm14335,washington,F,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49.0
cw82151,california,,Bachelor,890273,46833,112,0,Personal Auto,Luxury,64.0
dy22043,oregon,,High School or Below,549944,88768,68,0,Personal Auto,Two-Door Car,326.0
sh36774,california,,High School or Below,1502359,28262,192,0,Personal Auto,Luxury,921.0
em43724,nevada,,Bachelor,250910,33555,63,0,Personal Auto,Four-Door Car,101.0
fh85960,oregon,,College,3122174,42780,113,1,Personal Auto,Four-Door Car,542.0
xa55993,oregon,,Master,313350,58850,78,0,Personal Auto,Four-Door Car,143.0
go36627,arizona,,College,383745,21880,97,0,Special Auto,Four-Door Car,424.0
qh48047,oregon,,College,1179049,25251,66,0,Personal Auto,Four-Door Car,316.0
hs28694,washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50.0
uh65059,arizona,,High School or Below,430580,24188,109,0,Personal Auto,Luxury,523.0
fv21968,nevada,,Bachelor,597397,41611,74,0,Special Auto,Four-Door Car,113.0
qa87025,oregon,,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,192.0
tq13499,arizona,,College,473174,69833,118,0,Personal Auto,Four-Door Car,828.0
bu44523,arizona,,High School or Below,802637,0,74,0,Corporate Auto,Four-Door Car,532.0
ms41162,arizona,,High School or Below,402296,0,117,0,Personal Auto,SUV,975.0
pu25891,oregon,,High School or Below,961831,80536,119,0,Special Auto,Luxury,53.0
lh92841,washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50.0
sx26335,oregon,,College,955292,97732,79,0,Personal Auto,Four-Door Car,289.0
az95587,arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392.0
ds81757,oregon,M,College,247012,0,74,0,Personal Auto,Two-Door Car,721.0
oj94107,arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456.0
lp84436,california,F,High School or Below,904711,0,127,0,Personal Auto,Luxury,1087.0
ff22360,washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51.0
lm19287,oregon,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460.0
zu18643,nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251.0
az82578,california,F,College,792882,0,72,0,Corporate Auto,Four-Door Car,345.0
xc67861,arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321.0
yc43143,arizona,F,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99.0
ek59571,oregon,M,College,388545,0,105,0,Corporate Auto,Four-Door Car,504.0
pa38372,washington,F,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56.0
ro18530,washington,M,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57.0
pd27940,arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604.0
bs77946,arizona,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8.0
ym50253,california,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316.0
nr15332,california,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312.0
rc62865,oregon,M,College,351738,51814,92,0,Personal Auto,Four-Door Car,56.0
cc15295,oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393.0
ka61892,arizona,M,College,387364,28142,105,0,Personal Auto,Luxury,701.0
os94884,arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128.0
nd87334,california,M,High School or Below,228759,0,63,0,Corporate Auto,Two-Door Car,679.0
oy51402,washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59.0
yl74911,california,F,College,871492,0,118,0,Personal Auto,SUV,566.0
gk92563,washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61.0
hl53154,california,M,Bachelor,741619,0,77,2,Personal Auto,Four-Door Car,554.0
ri78966,oregon,M,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465.0
ic13702,california,F,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,496.0
be10809,california,F,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,292.0
ht87217,oregon,F,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256.0
th95618,california,F,High School or Below,2134346,0,74,1,Personal Auto,Four-Door Car,355.0
ts19868,california,M,College,241313,27501,63,0,Personal Auto,Four-Door Car,542.0
lp45550,oregon,F,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303.0
qr87004,nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25.0
oe75747,nevada,F,College,218964,0,61,3,Personal Auto,Four-Door Car,292.0
dx91392,california,M,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787.0
ab72731,california,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84.0
gx84338,washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61.0
is12901,arizona,F,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232.0
bn90616,washington,F,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68.0
hh90090,california,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710.0
iu25463,california,F,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552.0
kc11055,nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122.0
pd33979,oregon,M,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408.0
nk71023,nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408.0
ab13432,california,M,Bachelor,373583,0,110,0,Personal Auto,SUV,792.0
oz97704,california,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532.0
uf46533,california,F,College,457452,99316,114,0,Corporate Auto,SUV,754.0
xp47431,arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702.0
gk73582,california,F,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206.0
rv98763,oregon,M,College,641096,61709,82,2,Personal Auto,Four-Door Car,275.0
ii62831,california,M,Master,447902,94656,111,1,Special Auto,SUV,459.0
xk33449,california,F,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,496.0
tr85083,california,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336.0
eo95328,oregon,F,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321.0
en21086,arizona,F,High School or Below,688909,0,63,0,Personal Auto,Four-Door Car,302.0
yl83902,washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430.0
az62651,oregon,M,High School or Below,995170,56855,255,0,Corporate Auto,Luxury,1836.0
zw25874,oregon,M,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67.0
eh41854,washington,F,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844.0
mw70227,california,M,College,604702,20396,76,1,Personal Auto,Four-Door Car,364.0
sl22297,california,F,Master,1114030,27679,150,0,Personal Auto,SUV,722.0
rv14138,nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590.0
uo62808,arizona,F,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481.0
zx64745,california,M,College,792313,0,113,0,Personal Auto,SUV,1124.0
fl34139,california,M,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,669.0
ts11219,california,M,College,1206745,0,116,0,Personal Auto,SUV,1284.0
xx12304,california,F,College,292497,64459,72,0,Personal Auto,Four-Door Car,240.0
sd64087,california,M,College,1501409,32961,190,0,Corporate Auto,SUV,912.0
oy38576,oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556.0
bg76355,washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115.0
ip66913,california,M,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470.0
le95702,california,M,College,438627,10621,67,0,Special Auto,Four-Door Car,321.0
kx54357,washington,M,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383.0
ez78112,california,F,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,307.0
xn16891,arizona,M,College,291289,81097,74,0,Personal Auto,Four-Door Car,355.0
xk31350,oregon,F,College,691572,96610,85,0,Corporate Auto,Four-Door Car,520.0
cc30924,oregon,M,College,626266,30110,159,0,Corporate Auto,Luxury,466.0
it78748,oregon,F,High School or Below,650339,22081,84,0,Special Auto,Two-Door Car,451.0
ky33386,washington,F,High School or Below,800739,0,112,0,Personal Auto,Luxury,537.0
co44221,california,M,College,292991,98473,72,0,Personal Auto,Four-Door Car,345.0
lk60013,oregon,F,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355.0
de21533,california,M,Bachelor,547315,93870,69,0,Personal Auto,Four-Door Car,331.0
ys94121,nevada,M,High School or Below,564539,50366,72,0,Personal Auto,Four-Door Car,428.0
uk68427,washington,M,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398.0
te49565,oregon,F,College,1183376,16552,103,0,Personal Auto,SUV,494.0
ra88421,oregon,F,College,612110,26787,77,0,Personal Auto,Four-Door Car,369.0
kq51983,nevada,M,College,515936,0,74,0,Personal Auto,Two-Door Car,831.0
cd88896,nevada,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156.0
yv22553,arizona,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373.0
wu14435,california,M,Bachelor,496096,18174,66,0,Corporate Auto,Four-Door Car,395.0
xv84099,arizona,F,Bachelor,550413,0,73,0,Corporate Auto,Four-Door Car,350.0
ri24911,arizona,M,College,750745,60920,64,0,Personal Auto,Two-Door Car,231.0
ko26461,arizona,M,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,289.0
hi14283,oregon,F,Bachelor,565703,0,152,0,Personal Auto,SUV,729.0
pt50227,arizona,M,High School or Below,506175,0,68,0,Personal Auto,Two-Door Car,326.0
bh36570,california,M,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350.0
tx17484,california,F,Bachelor,1518227,53863,63,0,Personal Auto,Four-Door Car,105.0
ct41158,washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639.0
ao87348,washington,M,College,205062,0,61,0,Personal Auto,Four-Door Car,292.0
de55857,washington,F,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383.0
lf66923,nevada,F,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,316.0
cn24514,arizona,F,College,811982,46618,67,0,Personal Auto,Four-Door Car,99.0
uw32074,oregon,F,College,460526,0,64,0,Corporate Auto,Four-Door Car,307.0
hp36979,california,M,College,640878,49988,84,5,Personal Auto,Two-Door Car,566.0
pp40919,california,F,College,237653,0,91,5,Personal Auto,Two-Door Car,436.0
ro73268,california,M,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412.0
ho61691,arizona,F,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307.0
bs13062,arizona,F,High School or Below,2575527,0,81,2,Personal Auto,Four-Door Car,388.0
fo35655,oregon,M,Bachelor,867222,0,245,0,Corporate Auto,Luxury,2345.0
hr10526,california,M,Master,804473,44320,67,0,Personal Auto,Four-Door Car,321.0
ia63417,arizona,F,High School or Below,400151,19782,108,0,Personal Auto,Two-Door Car,773.0
bh35016,nevada,F,Bachelor,1670611,63933,70,0,Personal Auto,Two-Door Car,424.0
pk52952,arizona,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523.0
od76309,washington,F,College,780531,21073,106,1,Personal Auto,SUV,508.0
il28481,oregon,M,Bachelor,611275,63243,77,0,Personal Auto,Four-Door Car,364.0
gy55092,nevada,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638.0
uf33451,oregon,F,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354.0
cf15558,california,F,Master,500426,39161,63,1,Personal Auto,Two-Door Car,283.0
jm62924,washington,M,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403.0
em66435,oregon,F,Bachelor,262331,80210,65,0,Corporate Auto,Four-Door Car,20.0
qx45933,california,M,Bachelor,1784019,0,62,0,Personal Auto,Four-Door Car,385.0
ji71369,california,F,College,510611,30110,64,0,Personal Auto,Four-Door Car,140.0
ju93290,arizona,F,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326.0
gu66096,arizona,M,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,321.0
uc33108,california,M,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398.0
lw93867,oregon,M,College,481252,16531,63,0,Corporate Auto,Four-Door Car,102.0
ou78470,arizona,F,Master,2932804,32006,94,0,Corporate Auto,Four-Door Car,56.0
xw90265,arizona,F,Bachelor,577352,81676,72,0,Personal Auto,Two-Door Car,463.0
hs67749,california,M,College,684711,71038,86,0,Corporate Auto,Four-Door Car,205.0
vz51506,arizona,F,High School or Below,359531,0,103,0,Corporate Auto,Luxury,741.0
ui64281,nevada,F,Master,2285561,20832,65,0,Personal Auto,Two-Door Car,56.0
ae98193,washington,M,High School or Below,785941,0,113,0,Personal Auto,SUV,813.0
az74055,oregon,M,High School or Below,411557,52405,103,0,Personal Auto,Four-Door Car,494.0
xs76911,arizona,F,High School or Below,502963,0,133,0,Personal Auto,Luxury,795.0
ay40674,washington,F,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614.0
na12740,oregon,M,Master,500431,25486,65,0,Special Auto,Two-Door Car,72.0
ua84837,arizona,M,College,863005,24065,111,0,Corporate Auto,Four-Door Car,532.0
dj51510,arizona,F,High School or Below,932208,70435,116,0,Personal Auto,Four-Door Car,67.0
vm58985,california,M,College,1672756,0,76,2,Personal Auto,Two-Door Car,402.0
oh60605,oregon,F,High School or Below,365253,39679,92,0,Personal Auto,Two-Door Car,641.0
uo98052,nevada,M,College,615860,0,89,0,Personal Auto,Four-Door Car,342.0
nc53424,california,M,Bachelor,437608,0,69,4,Personal Auto,Two-Door Car,331.0
lq13873,nevada,M,High School or Below,556945,53565,71,1,Personal Auto,Four-Door Car,340.0
la97014,washington,M,Bachelor,257651,37574,66,1,Personal Auto,Two-Door Car,412.0
nb79936,washington,M,Bachelor,834698,48259,108,0,Personal Auto,Two-Door Car,73.0
nt89061,arizona,F,High School or Below,632392,78532,78,0,Personal Auto,Four-Door Car,374.0
af10970,arizona,F,Bachelor,597314,96163,73,0,Corporate Auto,Four-Door Car,350.0
zg48513,california,M,Bachelor,470667,0,72,0,Personal Auto,Four-Door Car,345.0
jq59145,california,M,High School or Below,809341,0,114,1,Personal Auto,Luxury,722.0
fe84989,washington,M,College,503574,72672,63,0,Personal Auto,Four-Door Car,259.0
jt52858,oregon,F,Bachelor,902786,99002,112,1,Personal Auto,Four-Door Car,537.0
mc62068,california,M,High School or Below,728888,79494,91,0,Personal Auto,Four-Door Car,396.0
eu27538,oregon,M,Master,1804247,35704,225,0,Personal Auto,Luxury,358.0
rh42306,arizona,F,Bachelor,499206,0,71,0,Corporate Auto,Four-Door Car,653.0
us23612,oregon,F,High School or Below,910226,26049,118,0,Personal Auto,Two-Door Car,121.0
wv76014,arizona,M,Doctor,254040,70125,64,0,Special Auto,Four-Door Car,92.0
rk96223,california,M,College,1294189,52369,110,1,Personal Auto,SUV,528.0
mf82000,washington,F,Bachelor,236534,0,66,2,Special Auto,Four-Door Car,159.0
fm46980,arizona,M,College,572076,41770,72,0,Personal Auto,Four-Door Car,476.0
sy56792,oregon,M,High School or Below,703553,0,101,0,Corporate Auto,Four-Door Car,727.0
rf61565,california,M,College,263697,31911,67,0,Personal Auto,Four-Door Car,321.0
im94808,nevada,M,Bachelor,539583,70051,68,0,Corporate Auto,Four-Door Car,42.0
vi14730,oregon,M,High School or Below,838263,19683,117,1,Personal Auto,Luxury,561.0
yr34119,washington,F,College,3116174,30916,112,0,Personal Auto,SUV,200.0
rr77985,oregon,F,Bachelor,288774,0,80,0,Personal Auto,Four-Door Car,676.0
qd28391,washington,M,College,742584,84302,62,0,Personal Auto,Four-Door Car,76.0
wv17090,california,M,Bachelor,2558572,0,116,0,Corporate Auto,SUV,830.0
tm23514,oregon,M,College,1027260,60145,132,0,Personal Auto,SUV,580.0
mq68407,oregon,F,Bachelor,437636,63774,111,0,Personal Auto,Four-Door Car,60.0
gj59592,california,F,Bachelor,531889,25134,67,0,Corporate Auto,Four-Door Car,321.0
fy56083,oregon,M,Bachelor,471976,37057,61,1,Personal Auto,Four-Door Car,47.0
ua94723,oregon,F,High School or Below,442803,58577,110,0,Personal Auto,SUV,303.0
fw91032,california,M,High School or Below,587917,85857,73,0,Corporate Auto,Four-Door Car,100.0
de34457,oregon,F,Doctor,941690,70602,116,0,Personal Auto,SUV,481.0
hd32044,oregon,F,Master,828815,33816,106,2,Corporate Auto,Four-Door Car,508.0
hh30454,oregon,M,Bachelor,3265483,0,153,0,Personal Auto,SUV,1101.0
ah84063,oregon,F,College,471945,89642,121,4,Corporate Auto,SUV,86.0
qa17596,california,F,Bachelor,390347,60068,98,0,Personal Auto,Two-Door Car,470.0
xi41052,california,F,Bachelor,545725,50044,139,0,Personal Auto,SUV,667.0
di30528,california,F,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56.0
sc66359,arizona,F,College,443397,50653,110,0,Corporate Auto,SUV,262.0
en61670,arizona,F,Doctor,533246,68931,66,0,Personal Auto,Four-Door Car,309.0
dq10761,oregon,M,Bachelor,231509,0,73,1,Corporate Auto,Four-Door Car,350.0
bq51587,california,F,College,541195,0,73,0,Personal Auto,Four-Door Car,365.0
je21522,california,M,Bachelor,958733,39266,80,0,Personal Auto,Four-Door Car,384.0
ws47147,california,M,College,2210350,0,102,0,Personal Auto,SUV,489.0
